2025-04-01 14:22:03;Jaan Tamm;jaan@example.com;Väga hea teenus!
2025-04-01 15:10:17;Mari Maasikas;mari@gmail.com;Koduleht võiks olla veidi kiirem.
2025-04-01 16:45:50;Peeter Põld;peeter@post.ee;Kas pakute ka tugiteenust?
2025-04-02 08:33:29;Liis Lumi;liis@lumemail.ee;Super lihtne kasutada, aitäh!
2025-04-02 09:15:03;Karl Kalev;karl@talu.ee;Kas info salvestatakse turvaliselt?
2025-04-02 10:45:12;Kertu Kask;kertu@kask.ee;Leidsin väikese kirjavea.
2025-04-02 12:00:00;Ott Oja;ott@oja.ee;Hea töö! Jätkake samas vaimus.
2025-04-02 13:42:07;Annika Aas;annika@aas.ee;Tahaksin rohkem infot.
2025-04-02 14:59:59;Jüri Jõe;jyri@joe.ee;Palun võtke minuga ühendust.
2025-04-02 16:22:22;Maarja Mets;maarja@mets.ee;Tänan kiire vastuse eest!
2025-04-11 16:42:03;Mari Maasikas;marko@maasikas.com;Lorem Ipsum on lihtsalt proovitekst, mida kasutatakse printimis- ja ladumistööstuses. See on olnud tööstuse põhiline proovitekst juba alates 1500. aastatest, mil tundmatu printija võttis hulga suvalist teksti, et teha trükinäidist.
2025-04-11 16:42:25;Mari Maasikas;marko@maasikas.com;Lorem Ipsum on lihtsalt proovitekst, mida kasutatakse printimis- ja ladumistööstuses. See on olnud tööstuse põhiline proovitekst juba alates 1500. aastatest, mil tundmatu printija võttis hulga suvalist teksti, et teha trükinäidist.
